Timestamp,delta RT 412,delta RT 411,delta RT 410,delta RT 409,delta RT 408,delta RT 407,delta RT 415
12/10/2016 10:30,-0.3130169,-0.19717026,-0.20714378,-0.30462265,0.37552452,-0.048671722,-0.37887192
12/10/2016 10:45,-0.20171165,-0.093940735,-0.33956718,-0.38165665,0.4190197,-0.15844154,-0.24491692
12/10/2016 11:00,-0.073682785,-0.13824844,-0.2819767,-0.42261505,0.17973518,-0.5253353,-0.09334183
12/10/2016 11:15,-0.07605171,0.026248932,-0.25477982,-0.35493088,0.116701126,-0.48745155,-0.092214584
12/10/2016 11:30,-0.04903984,-0.058267593,-0.180727,-0.28560638,0.10258484,-0.40312576,-0.028680801
12/10/2016 11:45,-0.073186874,-0.12865448,-0.2055912,-0.30143356,0.11248779,-0.2894287,-0.003000259
12/10/2016 12:00,-0.07691765,0.005958557,-0.08564377,-0.21806335,0.07834625,-0.17899323,-0.05874443
12/10/2016 12:15,-0.061580658,-0.113594055,-0.150877,-0.23556137,0.13330841,-0.11593819,-0.08259392
12/10/2016 12:30,-0.008935928,-0.10858345,-0.12238884,-0.1620369,0.18223,-0.1471157,-0.046894073
12/10/2016 12:45,0.061763763,0.08259773,-0.027166367,-0.14490128,0.1807518,-0.03345871,-0.19343567
12/10/2016 13:00,0.03999901,0.035734177,-0.09807587,-0.08224869,0.20207024,-0.11421776,-0.07837486
12/10/2016 13:15,-0.034132004,-0.031133652,-0.09542084,-0.23049355,0.19839668,-0.081726074,-0.13380241
12/10/2016 13:30,0.01603508,-0.016241074,-0.06426239,-0.1688366,0.22378159,-0.005525589,-0.115535736
12/10/2016 13:45,-0.01810646,-0.042274475,-0.17988205,-0.20939445,0.28893661,0.010974884,-0.18260956
12/10/2016 14:00,0.007997513,-0.032800674,-0.20285416,-0.25650024,0.10672188,-0.008327484,-0.18172455
12/10/2016 14:15,0.045200348,0.012914658,-0.17931557,-0.19804001,0.11107445,-0.23996735,-0.2078247
12/10/2016 14:30,-0.037046432,0.0804615,-0.17532349,-0.18179512,0.10310364,-0.13063431,-0.14304733
12/10/2016 14:45,-0.101364136,-0.037685394,-0.2605915,-0.20594215,0.11615753,-0.049711227,-0.10588455
12/10/2016 15:00,0.023275375,-0.06636429,-0.24715614,-0.13513947,-0.002315521,-0.1415348,-0.161623
12/10/2016 15:15,-0.031454086,-0.01794815,-0.2644348,-0.21883392,0.028413773,-0.057195663,-0.14908218
12/10/2016 15:30,-0.002494812,-0.04745674,-0.21928596,-0.19124794,0.05941391,-0.005516052,-0.14516068
12/10/2016 15:45,-0.010951996,0.016914368,-0.22286987,-0.1908226,-0.07626915,-0.004327774,-0.13741302
12/10/2016 16:00,-0.19016838,-0.15389442,-0.24178123,-0.57318497,0.000642777,-0.3100071,0.5392933
12/10/2016 16:15,0.26281357,-0.22677612,-0.020233154,-0.07762718,0.049259186,-0.08859825,0.6864376
12/10/2016 16:30,0.5736885,-0.09947586,0.20171547,0.11412239,0.18756104,-0.29000664,0.46618462
12/10/2016 16:45,0.62270737,0.053239822,0.20503235,0.30431557,0.33148575,-0.36446,0.23068619
12/10/2016 17:00,0.47304535,0.11608696,0.09797287,0.41683578,0.46633148,-0.27965164,0.20053482
12/10/2016 17:15,0.24078941,0.04960823,-0.12585258,0.14369583,0.24289131,-0.4017048,0.03778839
